,article_bias_prediction,commoncrawl_news_articles,dem_rep_party_platform_topics,gpt4_political_bias,gpt4_political_ideologies,media_political_stance,parliament_speeches_2024,political_podcasts,political_tweets,qbias,webis_bias_flipper_18,webis_news_bias_20,average
dataset_benchmark/leave_one_in/bert-large-cased/article_bias_prediction,595 / 1000 (60 %),467 / 1000 (47 %),432 / 1000 (43 %),247 / 612 (40 %),491 / 1000 (49 %),434 / 1000 (43 %),522 / 1000 (52 %),601 / 1000 (60 %),496 / 1000 (50 %),353 / 1000 (35 %),410 / 1000 (41 %),507 / 1000 (51 %),4960 / 10612 (47 %)
dataset_benchmark/leave_one_in/bert-large-cased/commoncrawl_news_articles,432 / 1000 (43 %),600 / 1000 (60 %),188 / 1000 (19 %),178 / 612 (29 %),122 / 1000 (12 %),427 / 1000 (43 %),328 / 1000 (33 %),514 / 1000 (51 %),483 / 1000 (48 %),257 / 1000 (26 %),414 / 1000 (41 %),404 / 1000 (40 %),3747 / 10612 (35 %)
dataset_benchmark/leave_one_in/bert-large-cased/dem_rep_party_platform_topics,528 / 1000 (53 %),494 / 1000 (49 %),669 / 1000 (67 %),332 / 434 (76 %),733 / 1000 (73 %),550 / 1000 (55 %),516 / 1000 (52 %),566 / 1000 (57 %),518 / 1000 (52 %),515 / 1000 (52 %),435 / 1000 (44 %),527 / 1000 (53 %),5714 / 10434 (55 %)
dataset_benchmark/leave_one_in/bert-large-cased/gpt4_political_bias,385 / 1000 (38 %),303 / 1000 (30 %),486 / 1000 (49 %),577 / 612 (94 %),643 / 1000 (64 %),376 / 1000 (38 %),508 / 1000 (51 %),511 / 1000 (51 %),507 / 1000 (51 %),298 / 1000 (30 %),410 / 1000 (41 %),383 / 1000 (38 %),4810 / 11000 (44 %)
dataset_benchmark/leave_one_in/bert-large-cased/gpt4_political_ideologies,468 / 1000 (47 %),557 / 1000 (56 %),593 / 1000 (59 %),323 / 434 (74 %),980 / 1000 (98 %),556 / 1000 (56 %),492 / 1000 (49 %),514 / 1000 (51 %),513 / 1000 (51 %),574 / 1000 (57 %),514 / 1000 (51 %),534 / 1000 (53 %),5638 / 10434 (54 %)
dataset_benchmark/leave_one_in/bert-large-cased/media_political_stance,581 / 1000 (58 %),651 / 1000 (65 %),509 / 1000 (51 %),183 / 434 (42 %),545 / 1000 (55 %),820 / 1000 (82 %),472 / 1000 (47 %),581 / 1000 (58 %),502 / 1000 (50 %),601 / 1000 (60 %),551 / 1000 (55 %),593 / 1000 (59 %),5769 / 10434 (55 %)
dataset_benchmark/leave_one_in/bert-large-cased/parliament_speeches_2024,497 / 1000 (50 %),492 / 1000 (49 %),512 / 1000 (51 %),150 / 434 (35 %),488 / 1000 (49 %),552 / 1000 (55 %),725 / 1000 (72 %),546 / 1000 (55 %),413 / 1000 (41 %),582 / 1000 (58 %),451 / 1000 (45 %),548 / 1000 (55 %),5231 / 10434 (50 %)
dataset_benchmark/leave_one_in/bert-large-cased/political_podcasts,513 / 1000 (51 %),598 / 1000 (60 %),486 / 1000 (49 %),253 / 434 (58 %),505 / 1000 (50 %),620 / 1000 (62 %),515 / 1000 (52 %),985 / 1000 (98 %),508 / 1000 (51 %),528 / 1000 (53 %),422 / 1000 (42 %),523 / 1000 (52 %),5471 / 10434 (52 %)
dataset_benchmark/leave_one_in/bert-large-cased/political_tweets,514 / 1000 (51 %),389 / 1000 (39 %),534 / 1000 (53 %),295 / 434 (68 %),653 / 1000 (65 %),394 / 1000 (39 %),486 / 1000 (49 %),425 / 1000 (42 %),679 / 1000 (68 %),425 / 1000 (42 %),581 / 1000 (58 %),456 / 1000 (46 %),5152 / 10434 (49 %)
dataset_benchmark/leave_one_in/bert-large-cased/qbias,395 / 1000 (40 %),346 / 1000 (35 %),403 / 1000 (40 %),236 / 612 (39 %),462 / 1000 (46 %),383 / 1000 (38 %),481 / 1000 (48 %),563 / 1000 (56 %),431 / 1000 (43 %),400 / 1000 (40 %),398 / 1000 (40 %),401 / 1000 (40 %),4499 / 10612 (42 %)
dataset_benchmark/leave_one_in/bert-large-cased/webis_bias_flipper_18,398 / 1000 (40 %),395 / 1000 (40 %),401 / 1000 (40 %),234 / 612 (38 %),478 / 1000 (48 %),402 / 1000 (40 %),510 / 1000 (51 %),346 / 1000 (35 %),461 / 1000 (46 %),320 / 1000 (32 %),708 / 1000 (71 %),507 / 1000 (51 %),4452 / 10612 (42 %)
dataset_benchmark/leave_one_in/bert-large-cased/webis_news_bias_20,410 / 1000 (41 %),372 / 1000 (37 %),275 / 1000 (28 %),253 / 612 (41 %),283 / 1000 (28 %),346 / 1000 (35 %),505 / 1000 (50 %),508 / 1000 (51 %),495 / 1000 (50 %),314 / 1000 (31 %),440 / 1000 (44 %),615 / 1000 (62 %),4201 / 10612 (40 %)
