,article_bias_prediction,commoncrawl_news_articles,dem_rep_party_platform_topics,gpt4_political_bias,gpt4_political_ideologies,media_political_stance,parliament_speeches_2024,political_podcasts,political_tweets,qbias,webis_bias_flipper_18,webis_news_bias_20,average
dataset_benchmark/leave_one_in/bert-large-cased/article_bias_prediction,278 / 1000 (28 %),155 / 1000 (16 %),0 / 1000 (0 %),178 / 612 (29 %),0 / 1000 (0 %),0 / 1000 (0 %),0 / 1000 (0 %),0 / 1000 (0 %),0 / 1000 (0 %),193 / 1000 (19 %),206 / 1000 (21 %),162 / 1000 (16 %),894 / 10612 (8 %)
dataset_benchmark/leave_one_in/bert-large-cased/commoncrawl_news_articles,384 / 1000 (38 %),303 / 1000 (30 %),494 / 1000 (49 %),250 / 612 (41 %),499 / 1000 (50 %),385 / 1000 (38 %),535 / 1000 (54 %),522 / 1000 (52 %),509 / 1000 (51 %),321 / 1000 (32 %),420 / 1000 (42 %),389 / 1000 (39 %),4708 / 10612 (44 %)
dataset_benchmark/leave_one_in/bert-large-cased/dem_rep_party_platform_topics,484 / 1000 (48 %),600 / 1000 (60 %),696 / 1000 (70 %),302 / 434 (70 %),642 / 1000 (64 %),606 / 1000 (61 %),489 / 1000 (49 %),502 / 1000 (50 %),517 / 1000 (52 %),558 / 1000 (56 %),422 / 1000 (42 %),531 / 1000 (53 %),5653 / 10434 (54 %)
dataset_benchmark/leave_one_in/bert-large-cased/gpt4_political_bias,394 / 1000 (39 %),326 / 1000 (33 %),559 / 1000 (56 %),585 / 612 (96 %),710 / 1000 (71 %),399 / 1000 (40 %),446 / 1000 (45 %),524 / 1000 (52 %),618 / 1000 (62 %),360 / 1000 (36 %),415 / 1000 (42 %),389 / 1000 (39 %),5140 / 11000 (47 %)
dataset_benchmark/leave_one_in/bert-large-cased/gpt4_political_ideologies,527 / 1000 (53 %),419 / 1000 (42 %),580 / 1000 (58 %),321 / 434 (74 %),989 / 1000 (99 %),453 / 1000 (45 %),521 / 1000 (52 %),561 / 1000 (56 %),597 / 1000 (60 %),485 / 1000 (48 %),537 / 1000 (54 %),500 / 1000 (50 %),5501 / 10434 (53 %)
dataset_benchmark/leave_one_in/bert-large-cased/media_political_stance,486 / 1000 (49 %),630 / 1000 (63 %),506 / 1000 (51 %),184 / 434 (42 %),501 / 1000 (50 %),615 / 1000 (62 %),465 / 1000 (46 %),478 / 1000 (48 %),491 / 1000 (49 %),604 / 1000 (60 %),420 / 1000 (42 %),536 / 1000 (54 %),5301 / 10434 (51 %)
dataset_benchmark/leave_one_in/bert-large-cased/parliament_speeches_2024,486 / 1000 (49 %),630 / 1000 (63 %),506 / 1000 (51 %),184 / 434 (42 %),501 / 1000 (50 %),615 / 1000 (62 %),465 / 1000 (46 %),478 / 1000 (48 %),491 / 1000 (49 %),604 / 1000 (60 %),420 / 1000 (42 %),536 / 1000 (54 %),5451 / 10434 (52 %)
dataset_benchmark/leave_one_in/bert-large-cased/political_podcasts,486 / 1000 (49 %),630 / 1000 (63 %),506 / 1000 (51 %),184 / 434 (42 %),501 / 1000 (50 %),615 / 1000 (62 %),465 / 1000 (46 %),478 / 1000 (48 %),491 / 1000 (49 %),604 / 1000 (60 %),420 / 1000 (42 %),536 / 1000 (54 %),5438 / 10434 (52 %)
dataset_benchmark/leave_one_in/bert-large-cased/political_tweets,486 / 1000 (49 %),630 / 1000 (63 %),506 / 1000 (51 %),184 / 434 (42 %),501 / 1000 (50 %),615 / 1000 (62 %),465 / 1000 (46 %),478 / 1000 (48 %),491 / 1000 (49 %),604 / 1000 (60 %),420 / 1000 (42 %),536 / 1000 (54 %),5425 / 10434 (52 %)
dataset_benchmark/leave_one_in/bert-large-cased/qbias,348 / 1000 (35 %),246 / 1000 (25 %),84 / 1000 (8 %),179 / 612 (29 %),0 / 1000 (0 %),228 / 1000 (23 %),8 / 1000 (1 %),194 / 1000 (19 %),44 / 1000 (4 %),354 / 1000 (35 %),343 / 1000 (34 %),400 / 1000 (40 %),2074 / 10612 (20 %)
dataset_benchmark/leave_one_in/bert-large-cased/webis_bias_flipper_18,384 / 1000 (38 %),303 / 1000 (30 %),494 / 1000 (49 %),250 / 612 (41 %),499 / 1000 (50 %),385 / 1000 (38 %),535 / 1000 (54 %),522 / 1000 (52 %),509 / 1000 (51 %),321 / 1000 (32 %),420 / 1000 (42 %),389 / 1000 (39 %),4591 / 10612 (43 %)
dataset_benchmark/leave_one_in/bert-large-cased/webis_news_bias_20,384 / 1000 (38 %),303 / 1000 (30 %),493 / 1000 (49 %),250 / 612 (41 %),499 / 1000 (50 %),385 / 1000 (38 %),535 / 1000 (54 %),522 / 1000 (52 %),509 / 1000 (51 %),321 / 1000 (32 %),420 / 1000 (42 %),389 / 1000 (39 %),4621 / 10612 (44 %)
